,,,-31.29280090,-512.000024319E-3,
,,,-31.28960037,-512.000024319E-3,
,,,-31.28639984,-512.000024319E-3,
,,,-31.28319931,-512.000024319E-3,
,,,-31.28000069,-512.000024319E-3,
,,,-31.27680016,-512.000024319E-3,
,,,-31.27359962,-512.000024319E-3,
,,,-31.27039909,-512.000024319E-3,
,,,-31.26720047,-512.000024319E-3,
,,,-31.26399994,-512.000024319E-3,
,,,-31.26079941,-512.000024319E-3,
,,,-31.25760078,-512.000024319E-3,
,,,-31.25440025,-512.000024319E-3,
,,,-31.25119972,-512.000024319E-3,
,,,-31.24799919,-512.000024319E-3,
,,,-31.24480057,-512.000024319E-3,
,,,-31.24160004,-512.000024319E-3,
,,,-31.23839951,-512.000024319E-3,
,,,-31.23520088,-512.000024319E-3,
,,,-31.23200035,-512.000024319E-3,
,,,-31.22879982,-512.000024319E-3,
,,,-31.22559929,-512.000024319E-3,
,,,-31.22240067,-512.000024319E-3,
,,,-31.21920013,-512.000024319E-3,
,,,-31.21599960,-512.000024319E-3,
,,,-31.21279907,-512.000024319E-3,
,,,-31.20960045,-512.000024319E-3,
,,,-31.20639992,-512.000024319E-3,
,,,-31.20319939,-512.000024319E-3,
,,,-31.20000076,-512.000024319E-3,
,,,-31.19680023,-512.000024319E-3,
,,,-31.19359970,-512.000024319E-3,
,,,-31.19039917,-512.000024319E-3,
,,,-31.18720055,-512.000024319E-3,
,,,-31.18400002,-512.000024319E-3,
,,,-31.18079948,-512.000024319E-3,
,,,-31.17760086,-512.000024319E-3,
,,,-31.17440033,-512.000024319E-3,
,,,-31.17119980,-512.000024319E-3,
,,,-31.16799927,-512.000024319E-3,
,,,-31.16480064,-512.000024319E-3,
,,,-31.16160011,-512.000024319E-3,
,,,-31.15839958,-512.000024319E-3,
,,,-31.15519905,-512.000024319E-3,
,,,-31.15200043,-512.000024319E-3,
,,,-31.14879990,-512.000024319E-3,
,,,-31.14559937,-512.000024319E-3,
,,,-31.14240074,-512.000024319E-3,
,,,-31.13920021,-512.000024319E-3,
,,,-31.13599968,-512.000024319E-3,
,,,-31.13279915,-512.000024319E-3,
,,,-31.12960052,-512.000024319E-3,
,,,-31.12639999,-512.000024319E-3,
,,,-31.12319946,-512.000024319E-3,
,,,-31.12000084,-512.000024319E-3,
,,,-31.11680031,-512.000024319E-3,
,,,-31.11359978,-512.000024319E-3,
,,,-31.11039925,-512.000024319E-3,
,,,-31.10720062,-512.000024319E-3,
,,,-31.10400009,-512.000024319E-3,
,,,-31.10079956,-512.000024319E-3,
,,,-31.09759903,-512.000024319E-3,
,,,-31.09440041,-512.000024319E-3,
,,,-31.09119987,-512.000024319E-3,
,,,-31.08799934,-512.000024319E-3,
,,,-31.08480072,-512.000024319E-3,
,,,-31.08160019,-512.000024319E-3,
,,,-31.07839966,-512.000024319E-3,
,,,-31.07519913,-512.000024319E-3,
,,,-31.07200050,-512.000024319E-3,
,,,-31.06879997,-512.000024319E-3,
,,,-31.06559944,-512.000024319E-3,
,,,-31.06240082,-512.000024319E-3,
,,,-31.05920029,-512.000024319E-3,
,,,-31.05599976,-512.000024319E-3,
,,,-31.05279922,-512.000024319E-3,
,,,-31.04960060,-512.000024319E-3,
,,,-31.04640007,-512.000024319E-3,
,,,-31.04319954,-512.000024319E-3,
,,,-31.03999901,-512.000024319E-3,
,,,-31.03680038,-512.000024319E-3,
,,,-31.03359985,-512.000024319E-3,
,,,-31.03039932,-512.000024319E-3,
,,,-31.02720070,-512.000024319E-3,
,,,-31.02400017,-512.000024319E-3,
,,,-31.02079964,-512.000024319E-3,
,,,-31.01759911,-512.000024319E-3,
,,,-31.01440048,-512.000024319E-3,
,,,-31.01119995,-512.000024319E-3,
,,,-31.00799942,-512.000024319E-3,
,,,-31.00480080,-512.000024319E-3,
,,,-31.00160027,-512.000024319E-3,
,,,-30.99839973,-512.000024319E-3,
,,,-30.99519920,-512.000024319E-3,
,,,-30.99200058,-512.000024319E-3,
,,,-30.98880005,-512.000024319E-3,
,,,-30.98559952,-512.000024319E-3,
,,,-30.98240089,-512.000024319E-3,
,,,-30.97920036,-512.000024319E-3,
,,,-30.97599983,-512.000024319E-3,
,,,-30.97279930,-512.000024319E-3,
,,,-30.96960068,-512.000024319E-3,
,,,-30.96640015,-512.000024319E-3,
,,,-30.96319962,-512.000024319E-3,
,,,-30.95999908,-512.000024319E-3,
,,,-30.95680046,-512.000024319E-3,
,,,-30.95359993,-512.000024319E-3,
,,,-30.95039940,-512.000024319E-3,
,,,-30.94720078,-512.000024319E-3,
,,,-30.94400024,-512.000024319E-3,
,,,-30.94079971,-512.000024319E-3,
,,,-30.93759918,-512.000024319E-3,
,,,-30.93440056,-512.000024319E-3,
,,,-30.93120003,-512.000024319E-3,
,,,-30.92799950,-512.000024319E-3,
,,,-30.92480087,-512.000024319E-3,
,,,-30.92160034,-512.000024319E-3,
,,,-30.91839981,-512.000024319E-3,
,,,-30.91519928,-512.000024319E-3,
,,,-30.91200066,-512.000024319E-3,
,,,-30.90880013,-512.000024319E-3,
,,,-30.90559959,-512.000024319E-3,
,,,-30.90239906,-512.000024319E-3,
,,,-30.89920044,-512.000024319E-3,
,,,-30.89599991,-512.000024319E-3,
,,,-30.89279938,-512.000024319E-3,
,,,-30.88960075,-512.000024319E-3,
,,,-30.88640022,-512.000024319E-3,
,,,-30.88319969,-512.000024319E-3,
,,,-30.87999916,-512.000024319E-3,
,,,-30.87680054,-512.000024319E-3,
,,,-30.87360001,-512.000024319E-3,
,,,-30.87039948,-512.000024319E-3,
,,,-30.86720085,-512.000024319E-3,
,,,-30.86400032,-512.000024319E-3,
,,,-30.86079979,-512.000024319E-3,
,,,-30.85759926,-512.000024319E-3,
,,,-30.85440063,-512.000024319E-3,
